reviewId,matched_app_name,category,app_avg_rating,user_rating,sentiment,likes,installs_cleaned,type,price,content_rating,genres,last_updated
gp:AOqpTOGDVqVWQzYssZFpVhEO3H6-uEFH5GX1daKgDQhZSIYED46WvSLSZh8ft8ePad68bVZNfX6JAdJRtUtIlQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOG5q9nFNy8x5yi_q4QLVHrsPqlNeW9qpGIz3bSMnPRSaqYpfstRn4668gXCvWz4uoxWaV5oZ3fy03cHvw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGH4Xcb0cV7Qa-mn6EPBCvdvDuhwAdcfH5GjCuqTri0jixvrr3xHP6HRlgYm47Qa1ph9xXjsQ2DsftuPQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGtXqwj0p7WxrULCZ-UjyMcQPuHL98dk8_ltovchb5NBYbmuXzdyM9gK1J1mu5Gbd5vrIkr64QCeV7jDw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGVjMpewPcjxPokXBnITSaAecHQgkNWehZMQ3qFuUrcy8AM6nQh3x5WSLlnaLFsu1zjU3RibFinqCgIYg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOH3o131hgg2-rLpqMYxuVEsSK3sX4I-H5mRb_ft4ie-kZiCZpCSZLFxhHbAfADgSO1eIZA386OTzwEtvQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEwt9fGEzSOSGKJuw2aQyeMuP8jZHyHvLg0Ab5AvvHwNivTKXqCYjxt15mKINZVzv_JJXZg-oZ4_oczTw,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOE-JneQXTexAm_UqATPnq4FRvCeGN2D4_0VPXdWsPyFOM1osVNNDSUjDN0z9CQ5zKF8V4h_35Nhr82XPQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHZHplgUOIojGHs9GrsqWBpRJTHLg98Z610FNnvDIptOh4Kim07Etk79jJ35tadzpYGS4n7ZFNZTgRq5w,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOH_0iMB_1lzqZpbJxcX3siKJgdTHBH-28BlDndLZmadny_B6a09HsYSroFVS-wOej_GU_yRiL-2qZWTwQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOED7w4u_bIDbOwaeN4yCtuKyXrKtkcZm00R_wJ56JSiLaNzDdQ25P6g5vS7YoI-EfeAtzSm9OeahsK5fg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOErFZjkUVEaDO94-OW3BNfCuYncXgGsYYJIMgJnUWHlQbqEFWVggNXc-koRmp9HslwPMvT_yrUPToU1bg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEerTvhvCO8ic-Aonota30u_gaqWiGBiTPlSuaEf5kzQMs9ryiGdJmwJWSQs9QCVFFJ-q1edkAXFgbCKA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGO1KUIVBKRJNqvRefLJGlFYYIcUREpUl3Wlwb2SDdFThp6vaGalSVip56arvR1MpyOusDHH5YCHSsL8Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFqTyqLugTrGTpYKF11eNUzd3fZAxGr9toV_Gr4Sazc8N0Dl2ycDlaoCdnKidnPgrsmLXeQn0w3wCe-wA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGErhsH2oqMsUmACAjVMwLdjxY8Q6CIUaHOk3ud2yFHiQZW6xBdD3feRd4Kj4Atjm-g2rXpgkF-_bGkGQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFt3ehG0zKnInlDeL_NHZXpo_E1oD5fep59tYN88vyVYc8ZF6grOYZpMdJARLuDMPtMQcToWmJW074koQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOENLwr5mOURR6JOaM8TNgVaGai7popGGgnAfFeQ-4efcUrEpjeipq6Zb7nqaNazBVJeBUdiWAi8JLk2OA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOExfP6ukhYx5ha807aMsFzRWSYAr4JV4Yw0Jz1gBZTJ-nQMSg9qzF_QVquXFa7jM8FXUGY54Y2Luyy_og,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOG8kpLP0TCn66CdxQPbXPgDpkyd3g6GPCJaIE-NbZoxy4vnzYcgcUHJgWoho76FF0Hc9NHh8O58mPo9bw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFb4VL4f1EaKKj9DhcMuJvQ7EBgFx5SAoK4awW_9e7onY9VGqeGi-DmDSAQZTTuLUp2iOPUU8be4or5Qw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOElOnxD0uH1A9nbDLNGz9mLflEE8QkLfsZjCvdEwkTX-dVBlbN0yhHJW2qWeym8D_-OZxjHv6xoISlUug,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGEkcGsl7EFwq2tpgWLCQWPuW5-1WJAarJ9tUShvQA7ZVKGkhHjYeRSiTZFQVbIHTRhnQAgULeCVQAnHw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFQ_IO9xwdJyZHppOVyDp-IYHTYyZcqh-uXyr0oMkj5-gIXcPwRkP2IV1dJy2gUtkdmvv4EPyo7ZBfeDA,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOH4hSHrVflKBRUD28umDRjEehyCWlPcPsknTMnX-sFQkhsWg4w9PPIc9MOW5Be_1r7DYGwMpfIKjYm3kg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEwE8a-4Y1cGmsxkZM6dlasBsPaDNEkc3OS8HrTGoQQtWaKpD7KuN8RDabT7Zt9irYuNjVnPvRKhTISUA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEjFVaczGoFrS67sT4XcSlXbG91bS7M-O7-4JqGx_wbHxlaFVAPWUl6Tlsgyovt9ripOGFpF0P6WNJWUA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGcpVxUl0MIXXsWpr-7hkBal-zS-gAmaHUWYqSYUu5bRhbxeDw0OxZQ71Y_PPkFIUlsVpaYDpEJFLvaxw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFuAhitjKXu9LzkvzDMa9-lHqMcNOzCWx6r_K8ixs4Tuuc9VSwVFWpiwr8a7xscUoxmEphf9TE9iPnOxw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOH0SrYZ5qJMDi6WXuTv3oZ1OOsYyZs3Cfp5Ic5LU81_myq1QP8uSRtjybCOBYSoVuUEXAP54tpOQ-fFZw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHI8dqh9v2g50x4r7kiQ5AtKnbhE6jjnuIdHZBJkqEXWDolpgIUGp3AWIoiephZ9TlenDNuO4gDeekIKw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFT6ycuBlbZs0BLI1C-t38CpsOdKRIymkNcW3NxHOevgfQkAKMscGeOLywsIG0UmLeGYeFRXbYF9C-F7Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEGGFn4Us3lkvtR-9QJWphKR2L3OYf2iAGMV25LPuB0q-auU77NVtNg5xNAv7kFE7nGjdRi8e_rSaqo-Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGDato0x7Cdpvel-1ud4A08mATHJPBkamlVNYWz_X_qcDzzXZkEVfeHIv_Sxhw5Dpr2aq8XYTCRCBOCXw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGTO57Z74KcS7UZQQMGKHwLllEkHJYanQRngKKJA5q-P-MURpsyDhrozHK94B0OBQp83hmQpnZ16BqZ_Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEL5nffIGBkpSf4bkp71bxRP4Qd-yYRY2cc4cUDfY_SB2Lxm_ySOmmAOWsoi-HR5wsE6wgLtoZgaiRVDw,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEA3htPbSI-QT1cjJ6_7u5KrdR3SHNlYdb0Syzew9hguH1MGw0hZ8of1t2wN67F6oktwbOuRK-OHdxB8w,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEqbmnEwKrJXRAPhCgNKUG4YR_TjQywLQ4IRO6JCZDIy-t4qUiZQ3i-8YiikammweSc0FmaA76q7RVc3w,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFrEwDrCygcc9ed74CD3GxNc42zCMwV4Sld32N1u6Kw34uIxwoxPVe57XLj51KzULPW66o4Fs7oLAuPdg,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHxnd7p70c024yf2y_cK5udaLFWeeQNOWlECgCgGjOBrEupcvxdN3F03YZCcEhy8rAGya4EhDfg6t-5sQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGkSegA8OGTP2S3K3GarjXOy4MXH_3Wbb3wsR7j0wI7jRc1UQDv88lA6YM5tRcoiwQBltE2U74V2RcD6w,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEDxqbrBviAyRm8_FawzwchFM4FxUau7F0luMw7Sex3fj2PPLZEFKuq-l-Hcir2boiNGk7rgpVf9487nQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFrLpWC4_IUbBVXO7OkaihTmEu0SzLQgNfpg-2QvHkbjmz7Zj32RoevJrYFbX7topL4UoAIoAlM41g3RA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOG8Z34qgdnQ2hhmgvXB3E3wNnmvvIi3Fh9EbcKnruD9j5OmpILijn6jqWms7dM6k_Mo-paheeCWLQujEw,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFLU90e-MgELiXewFH8FAPIO9ldwtUSjlS9hn0mpPDxqXOrCGtPV6Gn_1kFOipPLglT8s0v3AUqn4nCKQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
